Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL GBP,Return %,Commission GBP,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative PnL GBP,Cumulative PnL %,Duration (bars)
26,Entry short,16/01/2026 15:30,Short 15M,187.63,1,187.63,-0.37,-0.26,0,0.4,0.28,-0.56,-0.4,2.57,0.26,13
27,Exit short,20/01/2026 14:30,Exit Short 15M,182.27,1,181.58,-0.51,-0.38,0,0.57,0.42,-0.51,-0.38,2.06,0.21,2
27,Entry short,20/01/2026 14:00,Short 15M,181.58,1,181.58,-0.51,-0.38,0,0.57,0.42,-0.51,-0.38,2.06,0.21,2
28,Exit short,21/01/2026 10:15,Exit Short 15M,179.28,1,178.83,-0.33,-0.25,0,0,0,-0.33,-0.25,1.73,0.17,1
28,Entry short,21/01/2026 10:00,Short 15M,178.83,1,178.83,-0.33,-0.25,0,0,0,-0.33,-0.25,1.73,0.17,1
29,Exit short,21/01/2026 14:00,Exit Short 15M,179.18,1,178.55,-0.47,-0.35,0,0.45,0.34,-0.47,-0.35,1.26,0.13,8
29,Entry short,21/01/2026 12:00,Short 15M,178.55,1,178.55,-0.47,-0.35,0,0.45,0.34,-0.47,-0.35,1.26,0.13,8
30,Exit long,21/01/2026 14:30,Exit Long 15M,179.05,1,180.28,-0.92,-0.68,0,0.15,0.11,-0.95,-0.71,0.34,0.03,1
30,Entry long,21/01/2026 14:15,Long 15M,180.28,1,180.28,-0.92,-0.68,0,0.15,0.11,-0.95,-0.71,0.34,0.03,1
31,Exit long,22/01/2026 00:45,Exit Long 15M,183.82,1,182.98,0.63,0.46,0,1.78,1.31,-0.08,-0.06,0.97,0.1,21
31,Entry long,21/01/2026 19:30,Long 15M,182.98,1,182.98,0.63,0.46,0,1.78,1.31,-0.08,-0.06,0.97,0.1,21
32,Exit long,22/01/2026 11:15,Exit Long 15M,184.73,1,185.1,-0.28,-0.2,0,0.3,0.22,-0.31,-0.23,0.69,0.07,8
32,Entry long,22/01/2026 09:15,Long 15M,185.1,1,185.1,-0.28,-0.2,0,0.3,0.22,-0.31,-0.23,0.69,0.07,8
33,Exit long,22/01/2026 17:45,Exit Long 15M,184.43,1,185.08,-0.48,-0.35,0,0.81,0.59,-0.48,-0.35,0.21,0.02,7
33,Entry long,22/01/2026 16:00,Long 15M,185.08,1,185.08,-0.48,-0.35,0,0.81,0.59,-0.48,-0.35,0.21,0.02,7
34,Exit short,22/01/2026 20:45,Exit Short 15M,184.64,1,184.11,-0.39,-0.29,0,0.13,0.1,-0.39,-0.29,-0.19,-0.02,1
34,Entry short,22/01/2026 20:30,Short 15M,184.11,1,184.11,-0.39,-0.29,0,0.13,0.1,-0.39,-0.29,-0.19,-0.02,1
35,Exit long,23/01/2026 13:15,Exit Long 15M,187.11,1,187.95,-0.62,-0.45,0,0.41,0.29,-0.79,-0.57,-0.81,-0.08,8
