Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL GBP,Return %,Commission GBP,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative PnL GBP,Cumulative PnL %,Duration (bars)
93,Entry short,05/03/2026 17:30,Short 15M,181.1,1,181.1,-0.9,-0.67,0,2.39,1.77,-0.9,-0.67,10.14,1.01,11
94,Exit short,06/03/2026 11:15,Exit Short 15M,181.26,1,182.95,1.27,0.92,0,1.27,0.92,0,0,11.4,1.14,9
94,Entry short,06/03/2026 09:00,Short 15M,182.95,1,182.95,1.27,0.92,0,1.27,0.92,0,0,11.4,1.14,9
95,Exit short,06/03/2026 20:15,Exit Short 15M,177.1,1,180.14,2.28,1.69,0,2.28,1.69,-0.13,-0.1,13.68,1.37,2
95,Entry short,06/03/2026 19:45,Short 15M,180.14,1,180.14,2.28,1.69,0,2.28,1.69,-0.13,-0.1,13.68,1.37,2
96,Exit long,10/03/2026 10:15,Exit Long 15M,182.68,1,183.18,-0.37,-0.27,0,0.54,0.39,-0.37,-0.27,13.31,1.33,8
96,Entry long,10/03/2026 08:15,Long 15M,183.18,1,183.18,-0.37,-0.27,0,0.54,0.39,-0.37,-0.27,13.31,1.33,8
97,Exit long,10/03/2026 14:00,Exit Long 15M,182.51,1,183.36,-0.63,-0.46,0,0.38,0.28,-0.65,-0.48,12.67,1.27,1
97,Entry long,10/03/2026 13:45,Long 15M,183.36,1,183.36,-0.63,-0.46,0,0.38,0.28,-0.65,-0.48,12.67,1.27,1
98,Exit long,11/03/2026 08:45,Exit Long 15M,184.97,1,185.35,-0.28,-0.21,0,0.19,0.13,-0.28,-0.21,12.39,1.24,2
98,Entry long,11/03/2026 08:15,Long 15M,185.35,1,185.35,-0.28,-0.21,0,0.19,0.13,-0.28,-0.21,12.39,1.24,2
99,Exit long,11/03/2026 12:30,Exit Long 15M,184.84,1,185.28,-0.33,-0.24,0,0.29,0.21,-0.33,-0.24,12.06,1.21,6
99,Entry long,11/03/2026 11:00,Long 15M,185.28,1,185.28,-0.33,-0.24,0,0.29,0.21,-0.33,-0.24,12.06,1.21,6
