entry_time,exit_time,side,entry_price,exit_price,size,pnl,pnl_gross,commission,exit_reason,entry_bar_index,exit_bar_index
2025-12-01T07:00:00-05:00,2025-12-01T09:30:00-05:00,short,174.62,176.0935,1.0,-1.4735000000000014,-1.4735000000000014,0.0,sl,12,22
2025-12-01T15:45:00-05:00,2025-12-01T18:00:00-05:00,long,179.99,179.63475,1.0,-0.3552500000000123,-0.3552500000000123,0.0,sl,47,56
2025-12-03T04:00:00-05:00,2025-12-03T07:30:00-05:00,long,182.11,183.34000000000003,1.0,1.2300000000000182,1.2300000000000182,0.0,tp,128,142
2025-12-03T09:00:00-05:00,2025-12-03T13:30:00-05:00,short,180.38,181.212125,1.0,-0.8321249999999907,-0.8321249999999907,0.0,sl,148,166
2025-12-04T08:00:00-05:00,2025-12-04T09:00:00-05:00,short,180.12,180.740375,1.0,-0.6203749999999957,-0.6203749999999957,0.0,sl,208,212
2025-12-04T09:00:00-05:00,2025-12-04T14:00:00-05:00,long,181.05,183.42000000000002,1.0,2.3700000000000045,2.3700000000000045,0.0,tp,212,232
2025-12-04T15:45:00-05:00,2025-12-04T17:45:00-05:00,long,183.42,183.12774999999996,1.0,-0.2922500000000241,-0.2922500000000241,0.0,sl,239,247
2025-12-08T04:00:00-05:00,2025-12-08T04:30:00-05:00,short,182.05,182.41225,1.0,-0.36224999999998886,-0.36224999999998886,0.0,sl,320,322
2025-12-08T05:15:00-05:00,2025-12-08T08:15:00-05:00,long,182.72,182.48,1.0,-0.2400000000000091,-0.2400000000000091,0.0,reverse,325,337
2025-12-08T08:15:00-05:00,2025-12-08T09:30:00-05:00,short,182.48,183.50462499999998,1.0,-1.0246249999999861,-1.0246249999999861,0.0,sl,337,342
2025-12-08T09:30:00-05:00,2025-12-08T09:45:00-05:00,long,185.15,183.757875,1.0,-1.392124999999993,-1.392124999999993,0.0,sl,342,343
2025-12-08T12:45:00-05:00,2025-12-08T14:00:00-05:00,long,185.84,183.747875,1.0,-2.09212500000001,-2.09212500000001,0.0,sl,355,360
2025-12-08T16:15:00-05:00,2025-12-08T19:00:00-05:00,long,186.89,189.255,1.0,2.365000000000009,2.365000000000009,0.0,tp,369,380
2025-12-09T07:00:00-05:00,2025-12-09T08:30:00-05:00,long,187.27,186.45450000000002,1.0,-0.8154999999999859,-0.8154999999999859,0.0,sl,396,402
2025-12-09T09:15:00-05:00,2025-12-09T14:45:00-05:00,short,185.54,184.18,1.0,1.3599999999999852,1.3599999999999852,0.0,tp,405,427
2025-12-09T19:15:00-05:00,2025-12-10T04:00:00-05:00,short,184.31,184.55465,1.0,-0.24465000000000714,-0.24465000000000714,0.0,sl,445,448
2025-12-10T05:15:00-05:00,2025-12-10T06:00:00-05:00,short,184.5,185.2595,1.0,-0.7595000000000027,-0.7595000000000027,0.0,sl,453,456
